	id	cycle	setting1	setting2	setting3	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	av1	av2	av3	av4	av5	av6	av7	av8	av9	av10	av11	av12	av13	av14	av15	av16	av17	av18	av19	av20	av21	sd1	sd2	sd3	sd4	sd5	sd6	sd7	sd8	sd9	sd10	sd11	sd12	sd13	sd14	sd15	sd16	sd17	sd18	sd19	sd20	sd21	ttf	label_bnc	label_mcc
4	1	5	-0.0019	-0.0002	100.0	518.67	642.37	1582.85	1406.22	14.62	21.61	554.0	2388.06	9055.15	1.3	47.28	522.19	2388.04	8133.8	8.4294	0.03	393	2388	100.0	38.9	23.4044	518.67	642.2080000000001	1587.03	1403.2060000000001	14.62	21.61	554.164	2388.07	9049.566000000004	1.3	47.328	522.2819999999999	2388.048	8134.194	8.413340000000002	0.03	391.8	2388.0	100.0	38.95800000000001	23.39302	0.0	0.2347764894532603	4.075677857731061	2.1594397421554934	0.0	0.0	0.2862341698679803	0.02645751311067556	4.5873663468266646	0.0	0.1510629008062543	0.4325736931436925	0.02588435821107701	2.651326083302705	0.025952610658660613	0.0	1.095445115010327	0.0	0.0	0.07362064927722592	0.03349838802091893	187	0	0
196	2	5	0.0005	0.0004	100.0	518.67	641.73	1579.03	1402.52	14.62	21.6	555.12	2388.03	9058.15	1.3	47.25	522.27	2387.94	8136.67	8.3867	0.03	390	2388	100.0	39.18	23.4234	518.67	641.734	1584.4779999999998	1396.3939999999998	14.62	21.604000000000006	554.762	2388.0080000000007	9055.286	1.3	47.148	522.474	2387.98	8137.3	8.39518	0.03	391.0	2388.0	100.0	39.084	23.443620000000006	0.0	0.13088162590679867	3.590664283945185	4.500486640353484	0.0	0.0054772255750504106	0.38310572953168254	0.027748873851095285	2.865559282234704	0.0	0.13590437814875522	0.17672011770029225	0.051478150704877136	3.865080852970269	0.014362694733232166	0.0	0.707106781186545	0.0	0.0	0.09126883367283653	0.03775191385877065	282	0	0
483	3	5	0.002	0.0004	100.0	518.67	641.97	1581.48	1394.05	14.62	21.61	554.14	2388.01	9054.36	1.3	47.16	522.0	2388.03	8135.99	8.4233	0.03	391	2388	100.0	38.9	23.419	518.67	642.2479999999998	1582.7179999999998	1397.5320000000004	14.62	21.61	554.37	2388.044000000001	9056.368	1.3	47.206	522.1479999999998	2388.024000000001	8137.664000000001	8.40298	0.03	391.2	2388.0	100.0	38.98	23.39654	0.0	0.31043517841894	2.8736422881075416	2.717364532041984	0.0	0.0	0.3181194744117289	0.024083189157614614	4.093704923416	0.0	0.19539703170724024	0.13292855223763778	0.027928480087641386	1.2730396694528383	0.018117588139705692	0.0	1.0954451150103368	0.0	0.0	0.06892024376045176	0.07603198668981513	174	0	0
662	4	5	0.0012	-0.0002	100.0	518.67	642.11	1590.62	1399.42	14.62	21.61	552.91	2388.1	9046.98	1.3	47.26	521.35	2388.11	8126.94	8.4164	0.03	393	2388	100.0	38.91	23.2896	518.67	642.4100000000002	1586.0220000000002	1402.3200000000004	14.62	21.61	553.72	2388.076	9049.352	1.3	47.338	521.668	2388.0640000000008	8130.422	8.41644	0.03	392.0	2388.0	100.0	38.96	23.37598	0.0	0.27046256672601	2.8400387321302145	4.764488430041556	0.0	0.0	0.6301190363733722	0.016733200530811232	2.3798046138290885	0.0	0.06140032573203659	0.3112394576527864	0.039749213828684585	2.285370867058562	0.011151367629129454	0.0	1.0000000000000018	0.0	0.0	0.07176350047203665	0.06596856827308015	184	0	0
851	5	5	-0.0007	0.0001	100.0	518.67	642.03	1581.45	1394.28	14.62	21.61	554.59	2387.98	9069.25	1.3	47.09	522.6	2387.95	8147.69	8.4129	0.03	390	2388	100.0	39.17	23.3331	518.67	642.0740000000001	1584.804	1395.73	14.62	21.61	554.84	2387.988	9067.508	1.3	47.154	522.5	2387.99	8150.036	8.402999999999999	0.03	391.6	2388.0	100.0	39.134	23.38956	0.0	0.2313655116908933	3.4015702256457816	1.435583505059886	0.0	0.0	0.5056678751908351	0.021679483388703652	2.9125109441849033	0.0	0.08648699324175663	0.28293108701590525	0.0254950975680485	2.4193036188123336	0.010103217309352144	0.0	1.5165750888103162	0.0	0.0	0.09316651759081697	0.05486695726937816	264	0	0
5	1	6	-0.0043	-0.0001	100.0	518.67	642.1	1584.47	1398.37	14.62	21.61	554.67	2388.02	9049.68	1.3	47.16	521.68	2388.03	8132.85	8.4108	0.03	391	2388	100.0	38.98	23.3669	518.67	642.2639999999999	1585.984	1402.7599999999998	14.62	21.61	554.226	2388.062000000001	9050.264	1.3	47.26600000000001	522.2860000000002	2388.05	8133.039999999999	8.411600000000002	0.03	391.6	2388.0	100.0	38.942	23.3826	0.0	0.12837445228707742	3.8858306705257273	2.9263373011327087	0.0	0.0	0.3626706494879369	0.034928498393246014	4.193903909246994	0.0	0.14152738250953842	0.4254174420495452	0.023452078799035225	0.958697032435498	0.02572702858862691	0.0	1.1401754250991367	0.0	0.0	0.05118593556828272	0.031436364293601526	186	0	0
197	2	6	-0.001	0.0004	100.0	518.67	641.3	1577.5	1396.76	14.62	21.61	554.98	2388.04	9054.07	1.3	47.05	522.8	2387.99	8133.65	8.38	0.03	392	2388	100.0	39.15	23.427	518.67	641.6160000000001	1583.2099999999996	1397.49	14.62	21.605999999999998	554.8520000000002	2388.014	9055.156	1.3	47.17199999999999	522.568	2387.966	8136.486	8.393080000000001	0.03	391.2	2388.0	100.0	39.12600000000001	23.437320000000003	0.0	0.20181674856171014	4.791080253971856	3.4997285609029865	0.0	0.005477225575051221	0.3675187070068809	0.03130495168511657	2.9120233515550016	0.0	0.09093954035511594	0.20388722372919588	0.02880972058165496	4.170986693816935	0.015903050021930255	0.0	0.8366600265340751	0.0	0.0	0.045055521304267036	0.037273274607955806	281	0	0
484	3	6	-0.001	-0.0003	100.0	518.67	642.65	1581.26	1397.98	14.62	21.61	554.86	2388.08	9048.62	1.3	47.12	522.58	2388.08	8137.99	8.4126	0.03	392	2388	100.0	39.04	23.4656	518.67	642.37	1582.13	1397.5020000000004	14.62	21.61	554.55	2388.048	9054.702	1.3	47.202	522.216	2388.04	8137.5819999999985	8.40136	0.03	391.4	2388.0	100.0	38.996	23.42556	0.0	0.3276430985080907	2.794279871451626	2.7099298883918963	0.0	0.0	0.2805352027821387	0.028635642126514756	5.311512967130956	0.0	0.19728152473052413	0.23754999473798946	0.0331662479036598	1.2261198962584356	0.016419591955953	0.0	1.140175425099146	0.0	0.0	0.07231873892705985	0.06689516424974462	173	0	0
663	4	6	0.0023	0.0005	100.0	518.67	642.46	1588.76	1407.78	14.62	21.61	553.12	2388.04	9048.78	1.3	47.18	521.9	2388.09	8136.69	8.4313	0.03	392	2388	100.0	38.94	23.3491	518.67	642.3820000000002	1586.694	1403.306	14.62	21.61	553.55	2388.072	9048.888	1.3	47.316	521.6600000000002	2388.0679999999998	8131.460000000001	8.4187	0.03	391.8	2388.0	100.0	38.94000000000001	23.36952	0.0	0.25252722625496304	3.046108993453766	5.372874463450572	0.0	0.0	0.6597726881283962	0.022803508501998575	2.170776358817894	0.0	0.09396807968666963	0.3029026246172029	0.041472882706623214	3.661632149738767	0.013038596550242688	0.0	0.8366600265340793	0.0	0.0	0.056124860801606134	0.06688031848010302	183	0	0
852	5	6	0.0018	0.0002	100.0	518.67	642.32	1586.1	1390.56	14.62	21.61	554.53	2388.03	9062.14	1.3	47.16	522.87	2388.02	8148.03	8.4204	0.03	393	2388	100.0	39.0	23.3878	518.67	642.184	1585.3059999999996	1394.7900000000004	14.62	21.61	554.8680000000002	2387.998	9066.638	1.3	47.14799999999999	522.606	2387.994	8149.1979999999985	8.40504	0.03	391.6	2388.0	100.0	39.13800000000001	23.37776	0.0	0.17444196742747864	3.362607619095632	2.7537973781671257	0.0	0.0	0.4776190950956759	0.02774887385113933	3.805439527833404	0.0	0.08438009243891438	0.3063168294429913	0.028809720581892382	2.1883258441093307	0.0126334080912474	0.0	1.5165750888103162	0.0	0.0	0.08497058314499067	0.04492218828151232	263	0	0
6	1	7	0.001	0.0001	100.0	518.67	642.48	1592.32	1397.77	14.62	21.61	554.34	2388.02	9059.13	1.3	47.36	522.32	2388.03	8132.32	8.3974	0.03	392	2388	100.0	39.1	23.3774	518.67	642.3299999999998	1586.0839999999998	1401.6860000000001	14.62	21.61	554.344	2388.058	9053.276000000002	1.3	47.24	522.2940000000001	2388.042000000001	8133.206	8.404720000000001	0.03	391.6	2388.0	100.0	38.961999999999996	23.37336	0.0	0.13946325680982394	4.0753748293866785	3.648359905491856	0.0	0.0	0.2464345754962065	0.03898717737937681	4.03840686409666	0.0	0.09407443861114012	0.4256524403782706	0.021679483388635484	0.6431407311005493	0.023475774747599147	0.0	1.1401754250991367	0.0	0.0	0.0867179335547155	0.021634070352109774	185	0	0
198	2	7	0.0001	-0.0002	100.0	518.67	642.03	1587.49	1400.65	14.62	21.61	554.84	2388.05	9052.67	1.3	47.1	522.14	2388.04	8136.33	8.3941	0.03	391	2388	100.0	39.1	23.4718	518.67	641.6580000000001	1583.2979999999998	1398.994	14.62	21.606	554.8660000000001	2388.0280000000007	9055.428	1.3	47.14399999999999	522.4559999999999	2387.978	8137.534000000001	8.388560000000002	0.03	391.0	2388.0	100.0	39.134	23.449980000000004	0.0	0.2664019519448207	4.882414361768077	2.676673308418608	0.0	0.005477225575051221	0.3649383509580888	0.027748873851382076	2.4969020805789808	0.0	0.08619744775803964	0.2594802497301049	0.044384682042257824	2.9582308902448777	0.009388982905513571	0.0	0.707106781186545	0.0	0.0	0.03209361307174991	0.03575642599589618	280	0	0
485	3	7	-0.0018	-0.0003	100.0	518.67	642.62	1583.68	1405.76	14.62	21.61	554.29	2388.06	9051.91	1.3	47.26	522.08	2388.01	8141.85	8.4369	0.03	393	2388	100.0	39.03	23.4051	518.67	642.362	1581.4579999999999	1398.93	14.62	21.61	554.4559999999999	2388.05	9053.150000000003	1.3	47.184	522.226	2388.04	8138.476	8.40976	0.03	392.0	2388.0	100.0	38.988	23.4192	0.0	0.319170800669465	1.3480059347049071	4.640140084092255	0.0	0.0	0.2711641569234475	0.029154759474164894	4.580376622069987	0.0	0.18406520583749786	0.22864820139248002	0.0331662479036598	2.246793270419092	0.0220622528314771	0.0	1.0000000000000178	0.0	0.0	0.06379655163094733	0.0670589665891165	172	0	0
664	4	7	-0.002	0.0002	100.0	518.67	642.26	1586.91	1404.44	14.62	21.61	554.42	2388.06	9053.53	1.3	47.45	521.96	2388.08	8130.68	8.4372	0.03	393	2388	100.0	38.87	23.4134	518.67	642.344	1587.368	1402.1220000000005	14.62	21.61	553.51	2388.072	9049.912	1.3	47.33600000000001	521.7120000000001	2388.076	8131.69	8.426160000000001	0.03	392.2	2388.0	100.0	38.91	23.36346	0.0	0.2540275575602559	2.497132355322788	3.8726244331203263	0.0	0.0	0.5799137866960651	0.022803508501998575	2.954906089878756	0.0	0.1119374825516469	0.33237027544592124	0.03847076812326633	3.5443335057526006	0.009881447262421796	0.0	0.8366600265340793	0.0	0.0	0.04062019202316552	0.059437092795660514	182	0	0
853	5	7	0.0019	0.0001	100.0	518.67	642.78	1585.21	1399.1	14.62	21.6	554.85	2387.92	9069.18	1.3	47.14	522.52	2388.0	8151.1	8.3913	0.03	393	2388	100.0	39.2	23.381999999999998	518.67	642.256	1584.4099999999994	1395.6340000000002	14.62	21.608	554.724	2387.98	9067.868	1.3	47.15799999999999	522.5899999999998	2387.996	8148.809999999998	8.402239999999999	0.03	391.8	2388.0	100.0	39.15400000000001	23.372660000000003	0.0	0.31437239064515643	2.3454317299805374	3.366746203680937	0.0	0.004472135954998889	0.2812116640539849	0.04301162633524935	3.3092703123199683	0.0	0.07854934754662055	0.3087879531329029	0.02880972058191212	1.3471265716319074	0.014035063234628014	0.0	1.643167672515501	0.0	0.0	0.08820430828479937	0.04205791245413412	262	0	0
7	1	8	-0.0034	0.0003	100.0	518.67	642.56	1582.96	1400.97	14.62	21.61	553.85	2388.0	9040.8	1.3	47.24	522.47	2388.03	8131.07	8.4076	0.03	391	2388	100.0	38.97	23.3106	518.67	642.372	1585.0780000000002	1401.04	14.62	21.61	554.2620000000002	2388.042000000001	9050.848000000002	1.3	47.234	522.3040000000002	2388.042000000001	8132.7739999999985	8.40268	0.03	391.8	2388.0	100.0	38.966	23.36664	0.0	0.17426990560619274	4.1079520445104185	3.3670461832295064	0.0	0.0	0.33402095742632865	0.04381780460073797	6.915502150964693	0.0	0.09262828941528152	0.4299185969459564	0.021679483388635484	1.1492736836807569	0.022476921497394057	0.0	0.8366600265340688	0.0	0.0	0.08648699324175847	0.03440513043137658	184	0	0
